,,text
ham,1,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
ham,2,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
ham,3,Send me yetty's number pls.
ham,4,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
ham,5,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
ham,6,Hey we can go jazz power yoga hip hop kb and yogasana 
ham,7,Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
ham,8,Morning only i can ok.
ham,9,Wat time Ì_ finish?
ham,10,Shant disturb u anymore... Jia you...
spam,11,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,12,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,13,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
spam,14,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,15,Unless it's a situation where YOU GO GURL would be more appropriate
ham,16,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,17,Bring tat cd don forget
ham,18,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,19,Jay's getting really impatient and belligerent
ham,20,Lol they were mad at first but then they woke up and gave in.
